"stationId","name","lat","lon"
"207","Vanha Viertotie","60.211075296273414","24.881660254358646"
"208","Valimotie","60.215922235436786","24.87646479282845"
"209","Takomotie","60.2178996331627","24.8710464686467"
"571","Tapiolan urheilupuisto","60.177749","24.784654"
"210","Pajamäki","60.218807358014985","24.85566795479381"
"573","Urheilupuisto (M)","60.17465","24.779428"
"211","Haagan tori","60.21227524113252","24.899551136356806"
"212","Tunnelitie","60.21661653745581","24.89954369574049"
"575","Tontunmäentie","60.176107","24.769667"
"213","Huopalahden asema","60.218088561019165","24.89505934373838"
"214","Valimon asema","60.22229427877046","24.875870912746144"
"577","Olarinluoma","60.180848","24.760606"
"215","Pitäjänmäen asema","60.22431428805152","24.85863812462164"
"216","Jännetie","60.226769960915966","24.85354095884256"
"579","Niittymaa","60.171127","24.775913"
"217","Marttila","60.227143233822176","24.873227365442304"
"218","Pohjois-Haagan asema","60.230151499496536","24.88312884546424"
"219","Näyttelijäntie","60.23285213757895","24.887434554817386"
"581","Niittykumpu (M)","60.170758","24.763184"
"220","Ida Aalbergin tie","60.229408823326075","24.892011409257975"
"583","Haukilahdenkatu","60.166481","24.772708"
"100","Teljäntie","60.20969562580255","24.868739477207995"
"221","Thalianaukio","60.22534052315868","24.894792651160333"
"101","Munkkivuoren ostoskeskus","60.2059946","24.8798291"
"222","Huovitie","60.22197553556329","24.903286646676616"
"585","Haukilahdenaukio","60.162396","24.775882"
"223","Hämeenlinnanväylä","60.227422","24.902905"
"103","Vihdintie","60.208925","24.8895209"
"224","Vesakkotie","60.22794236805671","24.926564764263762"
"587","Hauenkallio","60.162477","24.767831"
"104","Kriikunakuja","60.2056785","24.8916817"
"225","Maunula","60.2303828883575","24.9325030021005"
"105","Tilkantori","60.2028392","24.8934761"
"226","Lepolantie","60.23910894200569","24.92859501499382"
"589","Haukilahdenranta","60.158048","24.769864"
"106","Korppaanmäentie","60.2034735","24.8989297"
"227","Kylävoudintie","60.22440378465167","24.952561243589713"
"107","Tenholantie","60.2024393","24.9054609"
"228","Kustaankartano","60.2307028705708","24.9487651621967"
"108","Radiokatu","60.20499","24.918419"
"229","Käskynhaltijantie","60.2332319517011","24.9579341169413"
"109","Hertanmäenkatu","60.202539","24.922458"
"591","Mellstenintie","60.154941","24.773993"
"230","Mäkitorpantie","60.230141","24.962531"
"593","Toppelundintie","60.1591405","24.782477"
"110","Maistraatintori","60.200047","24.924304"
"231","Siltavoudintie","60.23370685633967","24.96539507775229"
"111","Esterinportti","60.1975724","24.9267808"
"232","Oulunkylän asema","60.2291001633593","24.9667185624346"
"595","Westendintie","60.158194","24.791754"
"112","Rautatieläisenkatu","60.2014382","24.9332721"
"233","Kirkkoherrantie","60.22493036511101","24.972819375145058"
"596","Toppelundinportti","60.1624471","24.7848628"
"113","Pasilan asema","60.198210866794","24.9327990790329"
"234","Otto Brandtin tie","60.23178406584145","24.978138919040457"
"597","Linnakepolku","60.1637","24.790132"
"114","Ratapihantie","60.196431","24.936256"
"235","Katariina Saksilaisen katu","60.217214807977534","24.984420078358692"
"115","Venttiilikuja","60.1942095","24.941578"
"236","Hernepellontie","60.224212141004635","24.98860011548657"
